Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40121980,Deaf Republic,Ilya Kaminsky,"Kaminsky, Ilya",,"=""1555978312""","=""9781555978310""",0,4.44,Graywolf Press,Paperback,80,2019,2019,,2021/04/10,non-fiction,non-fiction (#35),non-fiction,,,,0,0
56755542,Not Here to Be Liked,Michelle Quach,"Quach, Michelle",,"=""0063038366""","=""9780063038363""",0,3.75,Katherine Tegen Books,Hardcover,384,2021,2021,,2022/10/27,to-read,to-read (#1089),to-read,,,,0,0
28110852,The Girl Who Drank the Moon,Kelly Barnhill,"Barnhill, Kelly",,"=""1616205679""","=""9781616205676""",0,4.12,Algonquin Young Readers,Hardcover,388,2016,2016,,2022/10/27,to-read,to-read (#1088),to-read,,,,0,0
368916,"84, Charing Cross Road",Helene Hanff,"Hanff, Helene",,"=""""","=""""",5,4.16,Penguin Books,Paperback,106,1990,1970,2022/10/27,2021/04/06,,,read,,,,1,0
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",3,4.08,Simon  Schuster,Hardcover,285,2013,2013,2022/10/27,2021/04/28,,,read,,,,1,0
32497573,Everyone's a Aliebn When Ur a Aliebn Too,Jomny Sun,"Sun, Jomny",Jonny Sun,"=""""","=""""",0,4.09,Harper Perennial,ebook,256,2017,2017,,2022/10/26,fiction,fiction (#130),fiction,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake","Hilary Clarcq, Andy Weir","=""1101904224""","=""9781101904220""",4,4.13,Crown,Hardcover,352,2016,2016,2022/10/24,2021/05/18,,,read,,,,1,0
60318890,"The Winners (Beartown, #3)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",5,4.54,Atria Books,Kindle Edition,671,2022,2021,2022/10/22,2022/10/04,,,read,,,,1,0
374233,If on a Winter's Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""9780088619451""",0,4.04,L&OD Key Porter,Paperback,260,1982,1979,,2022/10/13,fiction,fiction (#129),fiction,,,,0,0
22999076,Paris,Julien Green,"Green, Julien",,"=""""","=""""",0,3.61,Penguin,Paperback,126,2012,1983,,2021/04/25,to-read,to-read (#384),to-read,,,,0,0
57917042,Anatomy: A Love Story,Dana Schwartz,"Schwartz, Dana",,"=""""","=""""",0,3.80,Wednesday Books,Hardcover,338,2022,2022,,2022/10/07,fiction,fiction (#128),fiction,,,,0,0
6751,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster",,"=""0316156116""","=""9780316156110""",0,4.18,"Little, Brown and Company",Hardcover,343,2005,2005,,2022/10/03,non-fiction,non-fiction (#34),non-fiction,,,,0,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,,2021/01/23,fiction,fiction (#127),fiction,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.95,Random House,Hardcover,321,1997,1997,,2021/01/23,fiction,fiction (#126),fiction,,,,0,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.26,Back Bay Books,Paperback,1088,2005,1996,,2021/01/23,fiction,fiction (#125),fiction,,,,0,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.28,Bantam Books,Paperback,289,1993,1969,,2021/01/23,non-fiction,non-fiction (#33),non-fiction,,,,0,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2021/01/23,fiction,fiction (#124),fiction,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.72,Anchor Books,Paperback,209,1994,1958,,2021/01/23,fiction,fiction (#123),fiction,,,,0,0
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""""","=""""",0,3.72,Vintage,Paperback,288,1991,1930,,2021/01/23,fiction,fiction (#122),fiction,,,,0,0
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""000100039X""","=""9780001000391""",0,4.23,Rupa & Co,Paperback,127,2010,1987,,2021/01/23,fiction,fiction (#121),fiction,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2021/01/23,fiction,fiction (#120),fiction,,,,0,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia","Eudora Welty, جرجس منسي","=""""","=""""",0,3.79,Harvest Books,Paperback,209,1989,1927,,2021/01/23,fiction,fiction (#119),fiction,,,,0,0
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",Κώστας Γαλανόπουλος,"=""""","=""""",0,4.00,W. W. Norton & Company,Paperback,192,1986,1962,,2021/01/23,fiction,fiction (#118),fiction,,,,0,0
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",0,3.88,Signet Book,Mass Market Paperback,704,1996,1943,,2021/01/23,fiction,fiction (#117),fiction,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn","Leonard Peikoff, Jan de Voogt","=""0452011876""","=""9780452011878""",0,3.69,Plume,Paperback,1168,1999,1957,,2021/01/23,fiction,fiction (#116),fiction,,,,0,0
